Page,URL,Rect,Context
1,https://aka.ms/o0ukef,"(72.08815002441406, 158.65057373046875, 132.8660125732422, 167.85931396484375)",Obtener Outlook para iOS
1,https://busquedas.elperuano.pe/dispositivo/NL/2380525-1,"(203.46653747558594, 460.69805908203125, 318.2691650390625, 470.520751953125)","46-2025-PCM.- Designan integrante del Con NASS). (El Peruano, Normas Legales)"
1,https://busquedas.elperuano.pe/dispositivo/NL/2380525-2,"(203.46653747558594, 490.1661071777344, 318.2691650390625, 499.98876953125)","47-2025-PCM.- Designan integrante del Con NASS). (El Peruano, Normas Legales)"
1,https://busquedas.elperuano.pe/dispositivo/NL/2379596-1,"(546.6465454101562, 519.6342163085938, 555.2413940429688, 529.4568481445312)",nominado iento”. (El
1,https://busquedas.elperuano.pe/dispositivo/NL/2379596-1,"(45.075775146484375, 529.4568481445312, 150.0557098388672, 539.279541015625)","“Formato para la Gestión del Rend Peruano, Normas Legales)"
1,https://gestion.pe/peru/politica/congreso-aprueban-insistencia-de-autografa-de-ley-que-protege-a-usuarios-ante-cobros-excesivos-por-consumo-de-agua-potable-noticia/,"(253.1938934326172, 673.1136474609375, 284.503662109375, 682.936279296875)","to de Calidad de la Pres cación. (Gestión, Infoba"
1,https://www.infobae.com/peru/2025/03/14/aprueban-autografa-de-ley-que-protege-a-usuarios-ante-cobros-excesivos-por-consumo-de-agua-potable-que-cambia/,"(289.4150390625, 673.1136474609375, 319.49700927734375, 682.936279296875)","q dad de la Prestación d Gestión, Infobae, Congre"
1,https://www.facebook.com/story.php?story_fbid=pfbid02YqHZnkfqnKMLnK3D4Jy5aNmEgh2xD8KNQLhcu9KYXY8TRf5Rh85hqCH1xgw4Cg9Ql&id=100086343859023&sfnsn=wa&mibextid=VhDh1V&_rdr,"(264.244384765625, 730.2079467773438, 326.8639831542969, 740.0305786132812)","g p ear las horas de continuidad y lo ullana. (El Transportista, Noticia io Fantástico, Radio Coral Tala"
1,https://noticiaspiura30.pe/instalan-sensores-para-monitorear-presion-y-continuidad-del-agua-en-piura/,"(331.7753601074219, 730.2079467773438, 387.0279541015625, 740.0305786132812)","g p ontinuidad y los niveles de pr portista, Noticias Piura, Radio dio Coral Talara, Piura News,"
1,https://www.facebook.com/story.php?story_fbid=122152370354541573&id=61566247194910&rdid=eqZcPKjSj3vqDB0T,"(391.9393005371094, 730.2079467773438, 459.4702453613281, 740.0305786132812)","p s niveles de presión en zonas crí s Piura, Radio Fantástico, Autént a, Piura News, En Nombre de La"
1,https://www.facebook.com/story.php?story_fbid=1302583471230687&id=100044371395172&rdid=I7fzNvf1EHJT9KAR,"(464.9955139160156, 730.2079467773438, 502.4444274902344, 740.0305786132812)","p n en zonas críticas de tástico, Auténtico Nombre de La Verdad, P"
1,https://www.facebook.com/story.php?story_fbid=1302583471230687&id=100044371395172&rdid=I7fzNvf1EHJT9KAR,"(45.075775146484375, 740.0305786132812, 96.03095245361328, 749.8533325195312)","distintas localidades Guayacundo, Revist Piura 3.0, Sullana en"
1,https://www.facebook.com/story.php?story_fbid=1715103185946131&id=100023393993678&rdid=1VTlmy9xx0dZEIyQ,"(100.94229125976562, 740.0305786132812, 212.67530822753906, 749.8533325195312)","p as localidades de Piura, Paita, Talara y Sulla acundo, Revista Regional Encuentro, Radio 3.0, Sullana en la Noticia, Piura Noticias Dig"
1,https://www.facebook.com/story.php?story_fbid=1208665124597009&id=100063605992702&rdid=Vs9J5ByfNMV4Zj2V,"(217.58665466308594, 740.0305786132812, 285.1175842285156, 749.8533325195312)",", Talara y Sullana. (El Transportis uentro, Radio Fantástico, Radio ra Noticias Digitales, Informativo"
1,https://www.facebook.com/photo/?fbid=971223294993631&set=a.118074166975219,"(290.6428527832031, 740.0305786132812, 313.97174072265625, 749.8533325195312)","(El Transportista, Not tástico, Radio Coral T es, Informativo 365, Tr"
1,https://www.facebook.com/photo/?fbid=971223294993631&set=a.118074166975219,"(313.97174072265625, 740.0305786132812, 364.9269104003906, 749.8533325195312)","y ansportista, Noticias Piura, R o, Radio Coral Talara, Piura N ormativo 365, Trinidad Notici"
1,https://www.facebook.com/photo/?fbid=971223294993631&set=a.118074166975219,"(364.9269104003906, 740.0305786132812, 369.8382568359375, 749.8533325195312)","y Noticias Piura, Ra al Talara, Piura N Trinidad Noticia"
1,https://www.facebook.com/photo/?fbid=1233267452132887&set=a.502725681853738,"(369.8382568359375, 740.0305786132812, 415.882080078125, 749.8533325195312)","y p oticias Piura, Radio Fantás Talara, Piura News, En No Trinidad Noticias, Libre Exp"
1,https://www.facebook.com/photo/?fbid=1184100673715672&set=a.502401198552293,"(420.79339599609375, 740.0305786132812, 522.08984375, 749.8533325195312)","p Radio Fantástico, Auténtico News, En Nombre de La Verdad, Prensa cias, Libre Expresión Magazín,"
1,https://www.facebook.com/photo/?fbid=1305708994330935&set=a.613217726913402,"(527.6151123046875, 740.0305786132812, 555.8553466796875, 749.8533325195312)","o Verdad, Prensa zín,"
