Page,URL,Rect,Context
1,https://busquedas.elperuano.pe/dispositivo/NL/2390802-1,"(328.6199951171875, 164.989990234375, 473.75, 177.6400146484375)","Datem del Marañón, Loreto, Alto Amazo oreto. (El Peruano, Normas Legales)"
1,https://busquedas.elperuano.pe/dispositivo/NL/2390725-1,"(514.9199829101562, 202.94000244140625, 532.260009765625, 215.59002685546875)",ctorio del NAFE. (El
1,https://busquedas.elperuano.pe/dispositivo/NL/2390725-1,"(82.80000305175781, 215.59002685546875, 215.08999633789062, 228.239990234375)","Fondo Nacional de Financiamien Peruano, Normas Legales)"
1,https://www.facebook.com/photo/?fbid=122153249462545333&set=a.122140281014545333,"(405.8599853515625, 329.42999267578125, 483.8800048828125, 342.0799865722656)","agua potable y saneamien nass. (La Otra Acera, Revis chos de Piura, Expresión Lib"
1,https://www.facebook.com/photo/?fbid=1744279413028508&set=a.1057168758406247,"(488.0199890136719, 329.42999267578125, 532.260009765625, 342.0799865722656)","saneamiento Acera, Revista xpresión Libre"
1,https://www.facebook.com/photo/?fbid=1744279413028508&set=a.1057168758406247,"(82.80000305175781, 342.0799865722656, 198.42999267578125, 354.7300109863281)","mediante el nuevo punto de Regional El Encuentro, Pano Magazín, Periódico El Transp"
1,https://www.facebook.com/photo/?fbid=1133997695411683&set=a.323492286462232,"(200.8800048828125, 342.0799865722656, 355.0299987792969, 354.7300109863281)","vo punto de atención que instaló la Suna entro, Panorama Informativo Sullana, Hech co El Transportista, Programa Buenos Días"
1,https://www.facebook.com/photo/?fbid=1260788749385592&set=a.718173376980468,"(357.4800109863281, 342.0799865722656, 444.9800109863281, 354.7300109863281)","aló la Sunass. (La Otra Acer ullana, Hechos de Piura, Expre Buenos Días Paita Noticias, M"
1,https://www.facebook.com/photo/?fbid=1075702177910845&set=a.322443046570099,"(447.42999267578125, 342.0799865722656, 532.260009765625, 354.7300109863281)","a Otra Acera, Revista Piura, Expresión Libre a Noticias, MHnoticias,"
1,https://www.facebook.com/photo/?fbid=1075702177910845&set=a.322443046570099,"(82.80000305175781, 354.7300109863281, 129.49000549316406, 367.3699951171875)","Regional El En Magazín, Perió Sullana en la N"
1,https://www.facebook.com/photo/?fbid=653165420904914&set=a.108066292081499,"(132.5800018310547, 354.7300109863281, 265.989990234375, 367.3699951171875)","gional El Encuentro, Panorama Informat gazín, Periódico El Transportista, Progr lana en la Noticias)"
1,https://www.facebook.com/photo/?fbid=980118311000784&set=a.407743561571598,"(269.0799865722656, 354.7300109863281, 464.1499938964844, 367.3699951171875)","ma Informativo Sullana, Hechos de Piura, Expresión ortista, Programa Buenos Días Paita Noticias, MHno"
1,https://www.facebook.com/photo/?fbid=122129948282693859&set=a.122108624150693859,"(467.239990234375, 354.7300109863281, 526.1400146484375, 367.3699951171875)","a, Expresión Libre ticias, MHnoticias,"
1,https://www.facebook.com/photo/?fbid=646737408228204&set=a.111572665078017,"(82.80000305175781, 367.3699951171875, 193.0800018310547, 380.0199890136719)","Magazín, Periódico El Trans Sullana en la Noticias)"
1,https://diariocorreo.pe/edicion/ica/ica-podran-recibir-orientacion-ante-facturaciones-elevadas-en-modulo-de-la-sunass-en-mega-plaza-noticia/,"(488.0199890136719, 430.6199951171875, 526.1400146484375, 443.2699890136719)","or Atención al nass. (Correo,"
1,https://www.verdaddelpueblo.com/2025/04/mega-plaza-ica-usuarios-podran-recibir.html,"(122.54000091552734, 443.2699890136719, 249.33999633789062, 455.9200134277344)","Ciudadano (MAC) del Mega Plaza Ica, d Correo, Diario Verdad del Pueblo, Poco"
1,https://www.facebook.com/share/p/1CoMomk1ZQ/,"(250.9499969482422, 443.2699890136719, 308.6400146484375, 455.9200134277344)","Plaza Ica, donde encont ueblo, Poco Floro, Prens"
1,https://www.facebook.com/share/p/18wm18gWd3/,"(310.25, 443.2699890136719, 413.17999267578125, 455.9200134277344)","onde encontrará un módulo de la Floro, Prensa Digital Pisco)"
1,https://www.facebook.com/share/p/156Wn1S6DH/,"(491.67999267578125, 506.510009765625, 532.260009765625, 519.1600341796875)",mo el talento milia. (Centro
1,https://www.facebook.com/share/p/156Wn1S6DH/,"(82.80000305175781, 519.1600341796875, 181.4600067138672, 531.8099975585938)","artístico de niñas, niños y de Noticias Ancash, Porta"
1,https://www.facebook.com/share/p/16UHriKBu6/,"(183.07000732421875, 519.1600341796875, 312.29998779296875, 531.8099975585938)","ñas, niños y adolescentes, junto a sus ncash, Portal de Noticias Huaraz)"
1,https://elhuerequeque.com/noticias/sunass-fiscaliza-mantenimiento-de-sistemas-de-agua-potable-en-ciudad-eten-puerto-eten-y-monsefu/,"(149.61000061035156, 607.7000122070312, 233.1699981689453, 620.3499755859375)","obar que cuenten con elemen encia. (El Huerequeque, Trujill ante)"
1,https://trujillolimpio.com/2025/04/12/sunass-supervisa-condiciones-del-sistema-de-agua-potable-en-tres-distritos-de-lambayeque/,"(234.33999633789062, 607.7000122070312, 306.25, 620.3499755859375)","con elementos de protecc ueque, Trujillo Limpio, Chicla"
1,https://www.facebook.com/share/p/19V7khzxSr/,"(307.4200134277344, 607.7000122070312, 386.0799865722656, 620.3499755859375)","s de protección y operativida Limpio, Chiclayo Ahora, ABCN"
1,https://www.facebook.com/share/p/15wrXuXmpw/,"(387.25, 607.7000122070312, 441.260009765625, 620.3499755859375)","y operatividad ante situ Ahora, ABCNorte, El Ch"
1,https://www.facebook.com/share/p/15wpT2Whf7/,"(442.42999267578125, 607.7000122070312, 513.75, 620.3499755859375)","dad ante situaciones de Norte, El Chiclayano, El"
